Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  1689;  494.00; 49.7676; 11.3379;19000501;19391030;Gößweinstein
  1689;  455.00; 49.7722; 11.3383;19391031;19520501;Gößweinstein
  1689;  433.00; 49.7675; 11.3328;19520502;19540812;Gößweinstein
  1689;  460.00; 49.7695; 11.3383;19540813;19551023;Gößweinstein
  1689;  449.00; 49.7714; 11.3400;19551024;19560129;Gößweinstein
  1689;  449.00; 49.7661; 11.3317;19560130;19580526;Gößweinstein
  1689;  449.00; 49.7670; 11.3314;19580527;19630331;Gößweinstein
  1689;  449.00; 49.7653; 11.3294;19630401;19700604;Gößweinstein
  1689;  448.00; 49.7686; 11.3417;19700605;19790930;Gößweinstein
  1689;  460.00; 49.7714; 11.3414;19791001;19800331;Gößweinstein
  1689;  450.00; 49.7695; 11.3328;19800401;19970930;Gößweinstein
  1689;  440.00; 49.7753; 11.3447;19971001;19980331;Gößweinstein
  1689;  443.00; 49.7656; 11.3061;19980401;20040630;Gößweinstein
  1689;  443.00; 49.7656; 11.3061;20040701;        ;Gößweinstein
